type_search,place_search,street,PLZ,price,features,availability,object_type,number_of_rooms,number_of_floors,living_area,land_area,volume,construction_year,last_rennovation,number_of_appartments,height_rooms
immobilien,appenzell-ai,"Dorfstrasse 40, ",9108 Gonten,auf Anfrage,"Balkon / Terrasse, Aussicht, Ruhige Lage, Kinderfreundlich, Parkplatz, Garage, Lift, Swimmingpool, Neubau",Nach Vereinbarung,Wohnung,2.5,,64 m²,,,2024,,,
immobilien,appenzell-ai,"Brändlihangstrasse 10, ",9442 Berneck, 2027400.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Attikawohnung,3.5,3,260 m²,,,2023,,7,
immobilien,appenzell-ai,"Dorfstrasse 26, ",9054 Haslen AI,auf Anfrage,Kinderfreundlich,Nach Vereinbarung,Einfamilienhaus,3.5,3,70 m²,311 m²,,,,,
immobilien,appenzell-ai,"Gmündstrasse, ",9442 Berneck, 1294920.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Waschmaschine, Tumbler, Kabel-TV, Aussicht, Rollstuhlgängig, Kinderfreundlich, Garage, Lift",01.08.2025,Wohnung,3.5,3,,,,2024,,,
immobilien,appenzell-ai,"Brändlihangstrasse 10, ",9442 Berneck, 1288380.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Rollstuhlgängig, Kinderfreundlich, Garage, Lift, Neubau",Nach Vereinbarung,Wohnung,2.5,3,160 m²,,,2023,,7,
immobilien,appenzell-ai,"Gmündstrasse, ",9442 Berneck, 1412640.– ,"Haustiere erlaubt, Balkon / Terrasse, Keller, Reduit, Geschirrspüler, Steamer, Kabel-TV, Kinderfreundlich, Spielplatz, Garage, Eckhaus",01.08.2025,Reihenfamilienhaus,3.5,3,190 m²,,,2024,,,
immobilien,appenzell-ai,"Dorfstrasse 26, ",9054 Haslen AI,auf Anfrage,Kinderfreundlich,Nach Vereinbarung,Einfamilienhaus,3.5,3,70 m²,311 m²,,,,1,
immobilien,appenzell-ai,"Schwendetalstrasse 75, ",9057 Wasserauen, 2995320.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage, Neubau",Nach Vereinbarung,Einfamilienhaus,9.5,3,490 m²,1440 m²,,2024,,1,
immobilien,appenzell-ai,"Schwendetalstrasse 75, ",9057 Wasserauen, 1824660.– ,"Haustiere erlaubt, Balkon / Terrasse, Kabel-TV, Kinderfreundlich, Parkplatz, Garage",Nach Vereinbarung,Einfamilienhaus,4,3,180 m²,1440 m²,,,,1,
immobilien,appenzell-ai,"Gschwendes 6, ",9050 Appenzell Steinegg,auf Anfrage,"Balkon / Terrasse, Kabel-TV, Cheminée, Aussicht, Ruhige Lage, Kinderfreundlich, Garage",Sofort,Einfamilienhaus,5.5,2,470 m²,466 m²,,,2020,,
